EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations,TS Invocations,MS Invocations
434,10170.368,0,0,0,13414976,8030909,116031194,0,0,0,0,116031194,0,0,0
122,9099.264,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
71,2699.264,0,0,0,0,0,0,0,0,0,0,0,4262656,0,0
79,352.96,0,0,0,0,0,0,0,0,0,0,0,12582720,0,0
402,194.56,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
282,177.632,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
162,173.056,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
322,173.056,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
362,173.056,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
202,172.032,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
242,172.032,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
170,33.792,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
250,33.792,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
330,33.792,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
210,31.744,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
130,31.328,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
370,31.328,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
290,30.72,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
90,29.696,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0
186,5.248,0,0,0,0,0,0,0,0,0,0,0,256,0,0
114,5.184,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
154,5.12,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
394,5.12,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
446,5.12,3,1,0,1,1,921600,3,0,0,0,921600,0,0,0
346,4.704,0,0,0,0,0,0,0,0,0,0,0,256,0,0
194,4.576,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
354,4.576,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
258,4.512,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
98,4.448,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
338,4.16,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
378,4.16,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
106,4.096,0,0,0,0,0,0,0,0,0,0,0,256,0,0
146,4.096,0,0,0,0,0,0,0,0,0,0,0,256,0,0
178,4.096,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
226,4.096,0,0,0,0,0,0,0,0,0,0,0,256,0,0
234,4.096,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
266,4.096,0,0,0,0,0,0,0,0,0,0,0,256,0,0
274,4.096,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
298,4.096,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
306,4.096,0,0,0,0,0,0,0,0,0,0,0,256,0,0
314,4.096,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
386,4.096,0,0,0,0,0,0,0,0,0,0,0,256,0,0
422,3.744,0,0,0,0,0,0,0,0,0,0,0,64,0,0
138,3.712,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
48,3.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,3.104,0,0,0,0,0,0,0,0,0,0,0,1,0,0
218,3.072,0,0,0,0,0,0,0,0,0,0,0,32768,0,0
415,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,1.024,264,88,0,88,88,30000,164,0,0,0,30000,0,0,0
466,1.024,30,10,0,10,10,2560,8,0,0,0,2560,0,0,0
